Haapavesi;59.9;6613;-0.8;19.5;55.5;25.0;0.0;2.2;3;-112;1694;2918;91.4;21.0;70.1;17.6;2383;68.5;76.0;13.2;29.1;179.8;2651;12.4;32.5;53.8;105.0;485.4;4649.9;6462.1;2268.9;4180.7
Hailuoto;52.6;950;0.1;12.1;48.2;39.7;0.0;1.4;-14;3;256;488;98.2;15.4;77.7;33.1;332;72.8;54.5;9.8;43.0;185.8;237;25.3;10.5;62.0;71.4;534.2;2364.6;4181.2;1964.2;4977.9
Halsua;42.8;1083;-1.8;13.6;50.9;35.5;0.6;3.9;-11;-15;310;510;98.0;21.4;61.0;17.6;402;72.5;70.0;10.9;38.4;174.4;396;27.8;23.0;47.0;93.4;913.0;4244.8;12410.7;2082.5;4464.2
Hamina;87.7;19702;-0.9;12.7;56.7;30.6;0.3;3.6;-167;-123;5541;10272;72.0;24.3;71.4;25.1;7470;68.6;55.3;14.4;35.2;166.1;6277;2.9;21.0;74.2;81.5;1004.0;4256.2;8526.0;2025.3;4290.6
Hammarland;41.7;1619;1.3;17.1;60.4;22.5;88.3;13.3;-4;-23;469;713;93.1;20.2;64.4;20.3;710;76.2;27.2;8.4;23.3;125.2;314;15.0;18.5;57.3;42.2;304.6;625.4;0.0;2449.0;1998.7
Hankasalmi;46.8;4683;-2.1;13.9;53.0;33.1;0.2;1.3;-62;-44;1290;2343;95.3;20.8;69.2;20.2;1663;67.4;58.0;14.1;37.3;187.6;1356;15.9;19.4;62.2;80.2;932.2;1308.7;4111.9;1851.9;4602.0
Hanko;96.4;7979;-0.8;11.8;54.6;33.6;43.1;3.5;-76;-113;2201;4287;64.8;25.9;62.4;23.0;3045;71.2;82.6;13.2;36.7;164.1;3489;0.3;35.5;62.9;110.3;1001.7;7635.3;9473.4;1797.1;4277.0
Harjavalta;93.1;6785;-1.2;13.4;54.2;32.4;0.2;3.1;-68;-8;1841;3656;71.7;24.5;68.4;23.4;2437;68.0;57.8;13.7;36.8;181.9;3657;1.1;43.3;54.8;146.5;556.1;2849.3;3821.2;1806.7;4673.8
Hartola;53.6;2621;-1.3;8.9;49.3;41.9;0.1;2.7;-36;-11;714;1487;87.2;21.2;61.6;18.5;857;64.9;64.4;13.9;45.3;209.8;897;16.2;23.9;58.2;98.8;1195.1;4244.4;9859.1;1749.5;4777.4
Hattula;75.8;9405;0.2;16.9;59.0;24.1;0.4;1.2;-32;2;2696;4258;85.6;15.9;76.3;31.5;3999;75.6;29.7;9.2;26.8;134.8;2708;4.2;18.6;74.9;66.1;547.0;3360.4;5014.5;1765.5;3005.6
Hausjärvi;64.8;8143;-0.4;16.9;60.0;23.1;0.5;2.6;-40;-47;2363;3741;90.2;15.9;72.1;25.0;3549;75.4;29.0;9.0;26.4;130.3;2009;8.9;27.3;60.9;54.7;628.0;3612.0;4015.9;1932.1;3283.2
Heinola;91.1;18344;-0.8;10.6;53.3;36.1;0.2;2.9;-203;-12;4989;10235;51.6;31.3;68.5;23.7;6239;64.6;69.3;17.9;39.7;196.5;6199;2.2;33.3;62.9;94.6;1110.0;5371.7;6265.9;1433.6;3996.4
Heinävesi;43.0;3136;-1.9;9.8;49.6;40.5;0.3;2.2;-59;-2;858;1747;84.6;21.0;63.8;21.5;1022;64.7;76.7;16.2;45.2;212.7;1031;13.9;22.2;61.1;100.2;806.0;4523.5;5609.8;1905.5;5542.6
Helsinki;99.9;658457;0.2;14.3;68.1;17.6;5.6;10.3;1293;-1044;161282;344898;13.1;49.4;77.0;45.1;301908;69.0;77.4;14.1;19.4;117.6;413677;0.1;10.2;88.4;128.7;1314.3;1510.1;8451.7;2206.2;3396.6
Hirvensalmi;34.9;2131;-1.2;10.3;51.6;38.2;0.4;1.8;-35;35;603;1140;95.4;18.0;66.0;20.6;744;66.3;50.6;14.6;41.8;189.8;590;17.1;27.6;51.5;80.3;523.2;15.3;3645.6;1535.7;4852.5
Hollola;78.8;23090;-0.7;16.7;57.5;25.9;0.3;1.8;-85;-93;6634;10726;71.4;19.8;73.1;30.4;9252;73.3;31.2;12.7;28.7;151.3;6209;5.7;26.2;65.1;64.3;1018.4;1953.9;2682.8;1969.2;3286.5
Huittinen;71.4;9870;-0.7;13.9;55.8;30.2;0.2;3.1;-72;-38;2697;5106;80.3;23.0;69.4;23.3;3966;73.3;66.7;9.4;33.5;150.6;4218;9.3;25.2;63.9;103.3;823.3;2904.2;3382.2;1823.8;3765.7
Humppila;61.7;2166;-0.4;14.2;55.1;30.7;0.1;1.5;-13;1;597;1098;80.1;15.9;67.7;19.7;852;72.3;41.4;11.4;33.2;155.2;568;15.8;22.7;59.3;65.0;420.4;2403.4;3332.6;1688.1;3797.1
Hyrynsalmi;55.5;2139;-2.7;9.2;47.4;43.4;0.2;1.1;-44;-31;622;1159;92.2;18.0;64.9;16.1;697;63.2;63.1;14.9;47.8;215.5;574;11.7;12.9;73.2;79.4;392.5;1263.3;5429.7;1634.8;5915.0
